Name,1st Der M,Incl,RoA,Eccent,Arg of Peri,Mean Anom,Mean Motion
TRANSIT 5E 3,4.9e-07,89.8982,87.6429,33440.0,346.3201,175.7723,13.4735671
TIROS 8,-5.4e-07,58.4949,239.5931,19842.0,337.4916,22.525,14.69586845
GGSE 1 (GGRS),-1.1e-07,69.91,349.7327,16212.0,280.8903,79.0378,13.97185124
SECOR 1B,-3.6e-07,69.9007,63.7174,14086.0,350.6311,9.4528,13.94916469
SOLRAD 7A,-3.6e-07,69.907,51.8974,15631.0,313.9948,219.3963,13.95643406
GREB,-4.9e-07,69.9074,44.5141,15791.0,311.0512,48.9228,13.95867238
OPS 3367 A,1.6e-07,99.1301,282.4559,13862.0,315.2899,44.7162,14.28895843
OPS 3367 B,3e-08,99.1434,276.4027,17557.0,61.2611,299.033,14.27847589
OPS 4412 (TRANSIT 9),1.59e-06,90.5176,83.2381,50941.0,60.5206,300.1049,14.14703635
OPS 4467 A,1.2e-07,99.7768,357.9853,6146.0,38.7352,321.4262,14.23881062
OPS 4467 B,-1.1e-07,99.7866,356.3932,6098.0,109.471,250.7124,14.23072435
EXPLORER 20,5.7e-07,79.9006,193.4716,97048.0,254.1466,104.8976,13.91174053
COSMOS 44,-7.3e-07,65.0605,191.8869,155185.0,288.1456,70.2799,14.63788773
OPS 5798 (TRANSIT 5B-4,1.3e-07,90.175,35.6918,18494.0,328.167,100.5619,13.53459403
EXPLORER 22,1.01e-06,79.6909,52.8933,121864.0,66.7995,294.5935,13.82166585
CALSPHERE 1,2.76e-06,90.1641,33.0495,25448.0,289.0921,245.4736,13.73504221
CALSPHERE 2,3.6e-07,90.176,35.8382,18727.0,11.154,162.1097,13.52693245
EXPLORER 25 (INJUN-4),3.2e-07,81.345,42.0225,1130849.0,262.103,85.0498,12.64065763
OPS 6582 (TRANSIT 5E-5,7.9e-07,89.9982,187.324,42952.0,169.8607,201.2427,13.61663245
EXPLORER 26 (EPE-D),0.00271435,19.7039,287.212,405736.0,158.1474,203.678,15.17493245
OPS 6582 (TRANSIT 5B-5,2.2e-07,90.0257,194.2207,42857.0,95.4497,325.1378,13.56752979
TIROS 9,1.81e-06,96.4006,58.2882,1158537.0,198.8242,156.6379,12.10895911
SECOR 3,-1.2e-07,70.0779,285.3016,17664.0,71.7926,350.8889,13.95612739
GGSE 2,-8e-08,70.0777,288.0284,18398.0,75.5828,284.7319,13.95668635
OPS 4988 (GREB 6),-3.3e-07,70.0778,263.0365,18502.0,56.1231,6.9203,13.96152276
PORCUPINE 1,-1.3e-07,70.0818,341.2437,19722.0,106.9497,253.3772,13.94230157
SOLRAD 7B,-5e-08,70.0806,330.8158,18598.0,107.4211,252.8929,13.94607557
GGSE 3,5.3e-07,70.0757,89.1973,21704.0,312.0079,47.9181,14.00638916
OSCAR 3,-3.1e-07,70.0743,219.8257,18557.0,191.1025,168.968,14.06465212
OPS 4682 (SNAPSHOT),5.7e-07,90.2843,322.3759,29164.0,221.9389,197.2861,12.91762015
SECOR 4 (EGRS 4),6.3e-07,90.2753,332.1045,32191.0,138.8034,281.4878,12.92612452
EXPLORER 27,-5.6e-07,41.1835,258.0245,258664.0,103.7728,259.1953,13.38644658
OPS 8480 (TRANSIT 5B-6,8.5e-07,89.9192,305.9729,73353.0,197.221,216.594,13.51395599
TIROS 10,1.1e-07,98.3223,210.0572,57398.0,53.3038,307.3405,14.40304256
SECOR 5 (EGRS 5),-4.2e-07,69.2325,252.5066,786945.0,238.2938,181.7112,11.78637269
DODECAPOLE 2,1.962e-05,90.0356,15.5135,42813.0,77.4975,283.0986,13.95257507
TEMPSAT 1,4e-08,89.8908,222.8747,69277.0,203.8631,168.0008,13.33435653
OPS 8464 (TRANSIT 5B-7,2e-07,89.8704,240.306,71602.0,132.3748,296.8144,13.34978932
NAVSPASUR ROD 1,2.83e-06,89.9198,220.0293,57334.0,62.3989,0.5127,13.48853896
CALSPHERE 4(A),6.6e-07,90.0163,129.8903,72069.0,84.0114,86.9507,13.35837587
COSMOS 80,-1.09e-06,56.0548,246.1693,99993.0,255.4578,178.4069,12.52765316
COSMOS 81,-7.2e-07,56.0598,299.1296,89941.0,44.0019,127.1157,12.48835453
COSMOS 82,-6.6e-07,56.0604,318.6798,74038.0,230.5325,148.9219,12.45092467
COSMOS 83,-9.2e-07,56.0572,6.4951,70062.0,65.2075,295.6095,12.41015874
COSMOS 84,-1.09e-06,56.0548,51.9244,62332.0,241.5348,271.3155,12.37007957
PORCUPINE 2,1.6e-07,89.9314,216.0128,71649.0,84.5069,287.8978,13.35808546
OPS 8068,4.4e-07,98.3669,296.6201,233421.0,280.9914,76.5093,14.27607682
COSMOS 86,-8.9e-07,56.0576,270.7421,211427.0,220.3303,154.7674,12.51877973
COSMOS 87,-1.01e-06,56.0647,10.6413,202096.0,347.6741,184.8249,12.47428485
COSMOS 88,-1.03e-06,56.0601,70.0662,188940.0,147.0701,17.7906,12.43316165
